/ershoufang/baijiang/,白江,1402,52263
/ershoufang/fenghuangcheng/,凤凰城,1408,869
/ershoufang/fuhezhen/,福和镇,74,273244
/ershoufang/jiangpujie/,江浦街,218,6044
/ershoufang/kaifadongqu/,开发东区,252,34523
/ershoufang/kexuecheng/,科学城,962,9228
/ershoufang/lichengfupeng/,荔城富鹏,258,143
/ershoufang/lichengxiqu/,荔城西区,481,8645
/ershoufang/lichengzengjiang/,荔城增江,258,767
/ershoufang/lichengzhongqu/,荔城中区,331,722
/ershoufang/paitanzhen/,派潭镇,1,9022
/ershoufang/shacun/,沙村,757,939
/ershoufang/shitanzhen/,石滩镇,131,146526
/ershoufang/xiangxue/,香雪,687,1461
/ershoufang/xiaolouzhen/,小楼镇,1,12608
/ershoufang/xintangbei/,新塘北,964,1292
/ershoufang/xintangnan/,新塘南,745,20506
/ershoufang/yonghe1/,永和,248,8976
/ershoufang/zengchengbiguiyuan/,增城碧桂园,141,20383
/ershoufang/zengchengqufu/,增城区府,97,17650
/ershoufang/zhongxinzhen/,中新镇,198,39718
/ershoufang/zhucun/,朱村,533,61044
